
station,subcount,custcount,total_rides,subratio
San Francisco Caltrain (Townsend at 4th),33017,715,33732,0.9788035100201589
San Francisco Caltrain 2 (330 Townsend),21629,405,22034,0.9816193156031587
Harry Bridges Plaza (Ferry Building),16708,543,17251,0.968523563851371
Temporary Transbay Terminal (Howard at Beale),15952,169,16121,0.9895167793561194
Steuart at Market,10175,279,10454,0.9733116510426632
Grant Avenue at Columbus Avenue,8435,186,8621,0.9784247767080385
2nd at Townsend,7090,148,7238,0.9795523625310859
Embarcadero at Bryant,5849,101,5950,0.9830252100840337
Market at 10th,5671,174,5845,0.9702309666381522
Townsend at 7th,5467,77,5544,0.9861111111111112
Embarcadero at Sansome,5036,320,5356,0.9402539208364451
Civic Center BART (7th at Market),5027,201,5228,0.9615531752104055
South Van Ness at Market,4318,131,4449,0.970555180939537
Market at Sansome,4307,130,4437,0.9707009240477801
San Jose Diridon Caltrain Station,4243,94,4337,0.9783260318192298
Beale at Market,3917,95,4012,0.976321036889332
Powell Street BART,3475,303,3778,0.9197988353626257
Powell at Post (Union Square),3311,446,3757,0.8812882619110993
Spear at Folsom,3066,65,3131,0.979239859469818
2nd at Folsom,3022,85,3107,0.9726424203411651
