
station,subcount,custcount,total_rides,subratio
Harry Bridges Plaza (Ferry Building),996,2826,3822,0.260596546310832
Embarcadero at Sansome,963,2504,3467,0.27776175367753103
2nd at Townsend,827,833,1660,0.49819277108433735
Embarcadero at Bryant,783,797,1580,0.49556962025316453
Market at 4th,703,864,1567,0.44862795149968093
Powell Street BART,622,821,1443,0.43104643104643103
Steuart at Market,493,896,1389,0.3549316054715623
San Francisco Caltrain (Townsend at 4th),681,654,1335,0.5101123595505618
Grant Avenue at Columbus Avenue,718,600,1318,0.5447647951441578
Embarcadero at Vallejo,172,976,1148,0.14982578397212543
